model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top15  cs_top20  cs_top25  cs_top30  cs_top35  cs_top40  cs_top45  cs_top50
C1904x2TS215_1  [0.406]  [0.393]  0.343    0.337    0.335    0.321    0.346    0.334    0.325    0.317     0.284     0.259     0.239     0.236     0.236     0.236     0.236     0.236
C1904x2TS389_5  0.292    0.348    0.365    [0.365]  0.355    0.359    0.372    [0.389]  [0.391]  [0.390]   [0.361]   0.327     0.297     0.292     0.292     0.292     0.292     0.292
C1904x2TS369_1  0.290    0.326    0.341    0.334    0.331    0.349    0.346    0.357    0.372    0.377     0.360     0.327     0.297     0.292     0.292     0.292     0.292     0.292
C1904x2TS389_1  0.289    0.301    0.306    0.306    0.307    0.320    0.333    0.343    0.357    0.368     0.357     0.324     0.295     0.290     0.290     0.290     0.290     0.290
C1904x2TS215_3  0.278    0.300    0.319    0.359    0.347    0.354    0.346    0.338    0.332    0.337     0.309     0.281     0.259     0.255     0.255     0.255     0.255     0.255
C1904x2TS389_3  0.277    0.255    0.248    0.258    0.251    0.250    0.249    0.252    0.253    0.260     0.274     0.251     0.233     0.229     0.229     0.229     0.229     0.229
C1904x2TS215_2  0.272    0.374    [0.381]  0.361    [0.362]  0.346    0.333    0.332    0.331    0.324     0.297     0.272     0.251     0.248     0.248     0.248     0.248     0.248
C1904x2TS215_4  0.265    0.258    0.314    0.310    0.315    0.320    0.309    0.310    0.305    0.300     0.291     0.265     0.245     0.242     0.242     0.242     0.242     0.242
C1904x2TS123_1  0.208    0.213    0.216    0.215    0.216    0.218    0.218    0.220    0.222    0.222     0.280     0.275     0.256     0.253     0.253     0.253     0.253     0.253
C1904x2TS228_1  0        0.290    0.335    0.338    0.359    [0.386]  [0.374]  0.374    0.373    0.368     0.341     0.309     0.283     0.278     0.278     0.278     0.278     0.278
C1904x2TS389_4  0        0.288    0.293    0.317    0.320    0.320    0.320    0.336    0.336    0.352     0.340     0.305     0.278     0.273     0.273     0.273     0.273     0.273
C1904x2TS228_2  0        0.275    0.280    0.278    0.285    0.302    0.314    0.325    0.339    0.341     0.329     0.299     0.271     0.267     0.267     0.267     0.267     0.267
C1904x2TS215_5  0        0.258    0.276    0.290    0.304    0.306    0.314    0.307    0.308    0.308     0.291     0.267     0.246     0.243     0.243     0.243     0.243     0.243
C1904x2TS389_2  0        0        0        0        0.305    0.312    0.314    0.331    0.349    0.356     0.354     0.321     0.292     0.287     0.287     0.287     0.287     0.287
C1904x2TS123_5  0        0        0        0        0        0        0        0        0        0         0.273     0.274     0.256     0.253     0.253     0.253     0.253     0.253
C1904x2TS003_1  0        0        0        0        0        0        0        0        0        0         0.240     0.249     0.253     0.250     0.250     0.250     0.250     0.250
C1904x2TS067_3  0        0        0        0        0        0        0        0        0        0         0.222     0.330     0.307     0.302     0.302     0.302     0.302     0.302
C1904x2TS067_5  0        0        0        0        0        0        0        0        0        0         0.218     [0.332]   [0.309]   [0.304]   [0.304]   [0.304]   [0.304]   [0.304]
C1904x2TS067_4  0        0        0        0        0        0        0        0        0        0         0.215     0.317     0.297     0.292     0.292     0.292     0.292     0.292
C1904x2TS067_1  0        0        0        0        0        0        0        0        0        0         0.182     0.286     0.268     0.264     0.264     0.264     0.264     0.264
C1904x2TS049_1  0        0        0        0        0        0        0        0        0        0         0.160     0.161     0.182     0.181     0.181     0.181     0.181     0.181
C1904x2TS067_2  0        0        0        0        0        0        0        0        0        0         0         0.329     0.307     0.302     0.302     0.302     0.302     0.302
C1904x2TS049_2  0        0        0        0        0        0        0        0        0        0         0         0         0.197     0.200     0.200     0.200     0.200     0.200
C1904x2TS049_5  0        0        0        0        0        0        0        0        0        0         0         0         0.186     0.192     0.192     0.192     0.192     0.192
C1904x2TS049_3  0        0        0        0        0        0        0        0        0        0         0         0         0.171     0.176     0.176     0.176     0.176     0.176
C1904x2TS049_4  0        0        0        0        0        0        0        0        0        0         0         0         0.158     0.163     0.163     0.163     0.163     0.163
