model           cs_top1  cs_top2  cs_top3  cs_top4  cs_top5  cs_top6  cs_top7  cs_top8  cs_top9  cs_top10  cs_top20  cs_top50  cs_all
C1906x2TS215_5  [0.637]  [0.605]  [0.537]  0.502    0.479    0.482    0.470    0.466    0.456    0.449     0.392     0.339     0.319
C1906x2TS044_1  0.532    0.513    0.526    [0.524]  [0.523]  [0.534]  [0.530]  [0.524]  [0.520]  [0.517]   0.457     0.389     0.370
C1906x2TS215_3  0.446    0.489    0.489    0.483    0.465    0.469    0.459    0.449    0.445    0.442     0.389     0.335     0.315
C1906x2TS389_1  0.427    0.434    0.447    0.442    0.442    0.459    0.483    0.487    0.499    0.504     0.462     [0.397]   [0.379]
C1906x2TS215_1  0.403    0.448    0.468    0.468    0.452    0.444    0.445    0.454    0.446    0.444     0.392     0.339     0.319
C1906x2TS215_4  0.389    0.386    0.424    0.470    0.479    0.464    0.451    0.440    0.431    0.424     0.376     0.329     0.308
C1906x2TS215_2  0.383    0.383    0.400    0.414    0.442    0.440    0.436    0.429    0.420    0.414     0.375     0.327     0.307
C1906x2TS123_3  0.303    0.300    0.301    0.300    0.301    0.303    0.306    0.307    0.315    0.316     0.327     0.310     0.289
C1906x2TS228_1  0        0.470    0.479    0.471    0.479    0.488    0.508    0.509    0.506    0.506     0.452     0.384     0.365
C1906x2TS389_4  0        0        0.418    0.424    0.426    0.441    0.455    0.475    0.496    0.511     0.467     0.394     0.375
C1906x2TS389_5  0        0        0        0.432    0.432    0.447    0.460    0.477    0.498    0.511     [0.469]   [0.397]   0.378
C1906x2TS389_3  0        0        0        0        0.416    0.427    0.452    0.465    0.486    0.499     0.461     0.391     0.373
C1906x2TS389_2  0        0        0        0        0.414    0.424    0.442    0.447    0.461    0.470     0.449     0.387     0.368
C1906x2TS123_4  0        0        0        0        0.288    0.290    0.293    0.294    0.297    0.298     0.308     0.299     0.278
C1906x2TS003_1  0        0        0        0        0.276    0.277    0.280    0.280    0.282    0.283     0.282     0.306     0.285
C1906x2TS073_4  0        0        0        0        0        0.352    0.357    0.360    0.363    0.365     0.390     0.346     0.326
C1906x2TS073_5  0        0        0        0        0        0        0.371    0.374    0.380    0.383     0.403     0.355     0.336
C1906x2TS073_2  0        0        0        0        0        0        0        0.373    0.376    0.378     0.399     0.349     0.330
C1906x2TS073_1  0        0        0        0        0        0        0        0.369    0.373    0.375     0.399     0.351     0.332
C1906x2TS073_3  0        0        0        0        0        0        0        0        0        0.368     0.388     0.345     0.327
C1906x2TS123_1  0        0        0        0        0        0        0        0        0        0         0.331     0.310     0.291
C1906x2TS123_2  0        0        0        0        0        0        0        0        0        0         0.327     0.312     0.291
C1906x2TS123_5  0        0        0        0        0        0        0        0        0        0         0.306     0.306     0.286
C1906x2TS067_4  0        0        0        0        0        0        0        0        0        0         0.304     0.326     0.306
C1906x2TS121_1  0        0        0        0        0        0        0        0        0        0         0.295     0.296     0.277
C1906x2TS067_2  0        0        0        0        0        0        0        0        0        0         0.290     0.317     0.297
C1906x2TS067_1  0        0        0        0        0        0        0        0        0        0         0.268     0.292     0.271
C1906x2TS049_2  0        0        0        0        0        0        0        0        0        0         0.234     0.295     0.275
C1906x2TS049_1  0        0        0        0        0        0        0        0        0        0         0         0.306     0.286
C1906x2TS049_4  0        0        0        0        0        0        0        0        0        0         0         0.304     0.284
C1906x2TS049_3  0        0        0        0        0        0        0        0        0        0         0         0.291     0.271
C1906x2TS049_5  0        0        0        0        0        0        0        0        0        0         0         0.284     0.264
C1906x2TS121_2  0        0        0        0        0        0        0        0        0        0         0         0.278     0.259
