C1902d1TS003_1 C1902d1TS044_1 C1902d1TS049_1 C1902d1TS049_2 C1902d1TS049_3 C1902d1TS049_4 C1902d1TS049_5 C1902d1TS067_1 C1902d1TS067_2 C1902d1TS067_3 C1902d1TS067_4 C1902d1TS067_5 C1902d1TS103_1 C1902d1TS123_1 C1902d1TS123_2 C1902d1TS123_3 C1902d1TS123_4 C1902d1TS123_5 C1902d1TS131_1 C1902d1TS131_2 C1902d1TS131_3 C1902d1TS131_4 C1902d1TS131_5 C1902d1TS210_1 C1902d1TS210_2 C1902d1TS210_3 C1902d1TS210_4 C1902d1TS210_5 C1902d1TS215_1 C1902d1TS215_2 C1902d1TS215_3 C1902d1TS215_4 C1902d1TS215_5 C1902d1TS228_1 C1902d1TS228_2 C1902d1TS228_3 C1902d1TS228_4 C1902d1TS228_5 C1902d1TS240_1 C1902d1TS240_2 C1902d1TS240_3 C1902d1TS240_4 C1902d1TS240_5 C1902d1TS258_1 C1902d1TS258_2 C1902d1TS258_3 C1902d1TS258_4 C1902d1TS258_5 C1902d1TS273_1 C1902d1TS273_2 C1902d1TS273_3 C1902d1TS273_4 C1902d1TS273_5 C1902d1TS301_1 C1902d1TS347_1 C1902d1TS347_2 C1902d1TS347_3 C1902d1TS405_1 C1902d1TS405_2 C1902d1TS405_3 C1902d1TS405_4 C1902d1TS405_5 C1902d1TS438_1 C1902d1TS438_2 C1902d1TS438_3 C1902d1TS438_4 C1902d1TS438_5
1 0.311245 0.212784 0.199352 0.171279 0.230064 0.195347 0.32044 0.303966 0.3221 0.296911 0.32044 0.246256 0.297791 0.309547 0.300849 0.291928 0.324542 0.302532 0.318132 0.315728 0.308406 0.315473 0.302645 0.299871 0.30712 0.282905 0.281258 0.314319 0.298184 0.307934 0.291838 0.290788 0.296008 0.296084 0.299784 0.293675 0.297315 0.316142 0.308398 0.309173 0.308553 0.304362 0.301393 0.296539 0.300225 0.307982 0.307698 0.307929 0.305942 0.305897 0.305649 0.325452 0.311245 0.282833 0.315943 0.290825 0.302645 0.299871 0.30712 0.309681 0.305006 0.305868 0.272109 0.302925 0.310105 0.305031
0.204282 1 0.0974926 0.0826695 0.0858566 0.107959 0.0913319 0.334388 0.315662 0.302892 0.334521 0.334388 0.32959 0.388912 0.393224 0.348834 0.365432 0.393305 0.457815 0.487487 0.473391 0.458495 0.490279 0.481173 0.463432 0.443397 0.474113 0.490622 0.352184 0.386649 0.427648 0.366273 0.365246 0.465849 0.469532 0.469352 0.456274 0.49596 0.484898 0.486018 0.472284 0.495609 0.501992 0.462902 0.438075 0.442629 0.454334 0.451658 0.458647 0.470609 0.445615 0.509312 0.416248 1 0.402092 0.364261 0.386347 0.481173 0.463432 0.443397 0.457479 0.456679 0.520778 0.428554 0.511798 0.532012 0.530559
0.435571 0.316463 1 0.491045 0.474907 0.456483 0.468356 0.354027 0.374215 0.395038 0.365535 0.354027 0.262522 0.325385 0.321572 0.346262 0.355253 0.345323 0.338271 0.324477 0.334913 0.336057 0.324484 0.322971 0.326853 0.309628 0.314223 0.307429 0.355929 0.347918 0.3462 0.340134 0.347215 0.323705 0.321063 0.321438 0.331041 0.326083 0.330636 0.342642 0.334022 0.344913 0.335245 0.314214 0.327093 0.315028 0.318641 0.309434 0.323329 0.324913 0.334537 0.314886 0.365075 0.316463 0.324746 0.343218 0.341438 0.322971 0.326853 0.309628 0.329164 0.324445 0.327386 0.295149 0.334074 0.332215 0.325159
0.423535 0.297735 0.492679 1 0.504681 0.510185 0.496661 0.351676 0.367074 0.396184 0.3623 0.351676 0.269802 0.318828 0.315264 0.348896 0.351043 0.331229 0.312619 0.297754 0.314508 0.310678 0.294256 0.311556 0.307074 0.304545 0.291092 0.288682 0.340529 0.32914 0.318042 0.332979 0.333129 0.300501 0.299922 0.299317 0.305233 0.304501 0.308037 0.318337 0.311323 0.314318 0.318064 0.300405 0.303143 0.292718 0.305677 0.295486 0.311384 0.302711 0.316687 0.301466 0.348823 0.297735 0.309358 0.330443 0.35072 0.311556 0.307074 0.304545 0.312816 0.302408 0.314889 0.277324 0.319456 0.317031 0.311991
0.435973 0.320784 0.519438 0.523528 1 0.545849 0.547276 0.361855 0.386568 0.404785 0.37789 0.361855 0.267732 0.330347 0.324028 0.368155 0.36926 0.346369 0.329836 0.320765 0.329667 0.330857 0.317888 0.333199 0.326132 0.325948 0.301101 0.301423 0.355908 0.342133 0.344128 0.361984 0.345804 0.316233 0.315462 0.314345 0.321067 0.325738 0.329388 0.340991 0.331862 0.335551 0.335154 0.31467 0.320375 0.317504 0.320919 0.316616 0.315675 0.324474 0.332269 0.309406 0.36558 0.320784 0.324115 0.343184 0.346216 0.333199 0.326132 0.325948 0.319108 0.326962 0.328454 0.298958 0.32655 0.329678 0.322483
0.388971 0.287338 0.412817 0.447143 0.445686 1 0.406098 0.314654 0.330685 0.343326 0.344716 0.314654 0.246981 0.285323 0.294086 0.313882 0.323209 0.319131 0.294794 0.280289 0.289344 0.288033 0.278558 0.292997 0.295575 0.289405 0.279395 0.272777 0.326324 0.315616 0.312645 0.321229 0.307174 0.290843 0.290405 0.290571 0.293601 0.276787 0.286598 0.296347 0.292898 0.298505 0.29475 0.285462 0.290539 0.291594 0.29523 0.279084 0.291349 0.285592 0.294966 0.281621 0.325611 0.287338 0.292522 0.301948 0.315541 0.292997 0.295575 0.289405 0.290818 0.288196 0.293959 0.269061 0.301764 0.294573 0.295826
0.446127 0.309416 0.532724 0.566736 0.566332 0.517964 1 0.346693 0.375952 0.399925 0.378464 0.346693 0.268297 0.322521 0.324899 0.344156 0.348901 0.344054 0.327081 0.319266 0.327024 0.330832 0.317106 0.32103 0.315294 0.319405 0.301339 0.297995 0.34776 0.326705 0.336038 0.345429 0.343969 0.316742 0.318818 0.31938 0.32285 0.316644 0.314737 0.3283 0.327114 0.325773 0.32594 0.309794 0.317867 0.31181 0.313414 0.308578 0.307488 0.326669 0.321161 0.301632 0.363367 0.309416 0.317564 0.337569 0.333545 0.32103 0.315294 0.319405 0.325606 0.311579 0.32523 0.288633 0.336754 0.327503 0.321069
0.273565 0.402487 0.155202 0.134929 0.125471 0.151078 0.120707 1 0.34448 0.349253 0.444899 1 0.304943 0.357264 0.371327 0.367412 0.386972 0.388297 0.4068 0.407362 0.403187 0.39477 0.413129 0.40533 0.430897 0.420119 0.401038 0.407285 0.340051 0.361198 0.355481 0.369304 0.367222 0.425904 0.425771 0.422622 0.419799 0.415371 0.418994 0.409871 0.427098 0.405256 0.416185 0.413632 0.404666 0.402731 0.389443 0.409876 0.412395 0.408161 0.395608 0.420613 0.397221 0.402487 0.398212 0.379975 0.36474 0.40533 0.430897 0.420119 0.42164 0.431039 0.432728 0.350588 0.426385 0.416356 0.427116
0.28568 0.418234 0.172689 0.148727 0.157149 0.182342 0.145277 0.366573 1 0.434942 0.328059 0.366573 0.30563 0.365902 0.363355 0.361456 0.372182 0.382402 0.398659 0.407311 0.391338 0.40559 0.410711 0.421915 0.417064 0.407107 0.40426 0.405038 0.335761 0.37078 0.35464 0.369578 0.354191 0.419581 0.41996 0.419109 0.419325 0.413883 0.42161 0.39609 0.404179 0.407124 0.402629 0.39217 0.383809 0.406974 0.386916 0.400819 0.405651 0.399362 0.403165 0.42253 0.399622 0.418234 0.386071 0.357111 0.350405 0.421915 0.417064 0.407107 0.413483 0.413135 0.434602 0.373594 0.424355 0.427705 0.428054
0.326993 0.455614 0.208165 0.194738 0.175261 0.214626 0.170165 0.41423 0.486751 1 0.398565 0.41423 0.347315 0.423118 0.415372 0.440612 0.440549 0.41641 0.467469 0.452078 0.455586 0.47176 0.456563 0.456676 0.473208 0.448743 0.456236 0.451198 0.368401 0.401513 0.430588 0.442834 0.427773 0.454689 0.462347 0.464291 0.457047 0.451855 0.443704 0.469576 0.469361 0.458975 0.46916 0.448064 0.449122 0.445744 0.445637 0.43178 0.453265 0.446356 0.448287 0.464371 0.445445 0.455614 0.433848 0.436542 0.438427 0.456676 0.473208 0.448743 0.462577 0.470009 0.47807 0.403881 0.470853 0.47306 0.476262
