C1902d3TS003_1 C1902d3TS010_1 C1902d3TS010_2 C1902d3TS010_3 C1902d3TS010_4 C1902d3TS010_5 C1902d3TS044_1 C1902d3TS049_1 C1902d3TS049_2 C1902d3TS049_3 C1902d3TS049_4 C1902d3TS049_5 C1902d3TS067_1 C1902d3TS067_2 C1902d3TS067_3 C1902d3TS067_4 C1902d3TS067_5 C1902d3TS103_1 C1902d3TS123_1 C1902d3TS123_2 C1902d3TS123_3 C1902d3TS123_4 C1902d3TS123_5 C1902d3TS131_1 C1902d3TS131_2 C1902d3TS131_3 C1902d3TS131_4 C1902d3TS131_5 C1902d3TS210_1 C1902d3TS210_2 C1902d3TS210_3 C1902d3TS210_4 C1902d3TS210_5 C1902d3TS215_1 C1902d3TS215_2 C1902d3TS215_3 C1902d3TS215_4 C1902d3TS215_5 C1902d3TS228_1 C1902d3TS228_2 C1902d3TS228_3 C1902d3TS228_4 C1902d3TS228_5 C1902d3TS240_1 C1902d3TS240_2 C1902d3TS240_3 C1902d3TS240_4 C1902d3TS240_5 C1902d3TS258_1 C1902d3TS258_2 C1902d3TS258_3 C1902d3TS258_4 C1902d3TS258_5 C1902d3TS267_1 C1902d3TS267_2 C1902d3TS267_3 C1902d3TS267_4 C1902d3TS273_1 C1902d3TS273_2 C1902d3TS273_3 C1902d3TS273_4 C1902d3TS273_5 C1902d3TS301_1 C1902d3TS345_1 C1902d3TS345_2 C1902d3TS345_3 C1902d3TS345_4 C1902d3TS345_5 C1902d3TS347_1 C1902d3TS347_2 C1902d3TS347_3 C1902d3TS405_1 C1902d3TS405_2 C1902d3TS405_3 C1902d3TS405_4 C1902d3TS405_5 C1902d3TS432_1 C1902d3TS438_1 C1902d3TS438_2 C1902d3TS438_3 C1902d3TS438_4 C1902d3TS438_5
1 0.33981 0.356011 0.349737 0.343941 0.321749 0.342578 0.197056 0.205151 0.209246 0.188849 0.17676 0.326135 0.326135 0.326135 0.326135 0.326135 0.341119 0.329335 0.329335 0.343836 0.343836 0.343836 0.347193 0.34727 0.347254 0.345454 0.343245 0.327954 0.331012 0.313938 0.329405 0.33412 0.3201 0.350509 0.342429 0.327136 0.336837 0.333671 0.343546 0.355076 0.336916 0.328214 0.328903 0.312725 0.326027 0.341872 0.338964 0.349448 0.346688 0.346164 0.334347 0.340513 0.33463 0.331554 0.333768 0.337286 0.328459 0.322368 0.345506 0.343447 0.347032 0.342578 0.331558 0.326889 0.321161 0.323919 0.308864 0.319024 0.313612 0.296306 0.327954 0.331012 0.313938 0.329405 0.33412 0.327715 0.346709 0.282992 0.335691 0.342468 0.347798
0.251197 1 0.424822 0.411831 0.452843 0.465519 0.396513 0.108009 0.120808 0.121574 0.10098 0.103888 0.371624 0.371624 0.371624 0.371624 0.371624 0.386108 0.375966 0.375966 0.374393 0.374393 0.374393 0.403603 0.403998 0.405267 0.401546 0.404375 0.396279 0.388368 0.40679 0.404155 0.397692 0.379534 0.411907 0.417197 0.33991 0.379949 0.394691 0.398201 0.409075 0.401077 0.398472 0.425776 0.411682 0.424927 0.428909 0.43159 0.409886 0.405666 0.413425 0.403969 0.410235 0.389542 0.399424 0.385059 0.399025 0.381285 0.392948 0.372114 0.374787 0.369681 0.396513 0.418017 0.399792 0.407496 0.397582 0.384559 0.361386 0.37232 0.36516 0.396279 0.388368 0.40679 0.404155 0.397692 0.388841 0.396178 0.370649 0.400976 0.393217 0.406974
0.293973 0.47055 1 0.413859 0.441221 0.441155 0.434932 0.133575 0.140145 0.158333 0.109206 0.127905 0.410931 0.410931 0.410931 0.410931 0.410931 0.418738 0.426796 0.426796 0.427313 0.427313 0.427313 0.442304 0.442614 0.443338 0.44827 0.436268 0.427151 0.415018 0.41493 0.446511 0.443797 0.41176 0.432555 0.463358 0.392903 0.38221 0.43206 0.43281 0.430238 0.441098 0.416872 0.410425 0.427208 0.43424 0.430564 0.426818 0.442995 0.439722 0.451516 0.459532 0.454069 0.419663 0.405099 0.405784 0.432312 0.413125 0.437165 0.37955 0.378494 0.376498 0.434932 0.456542 0.431781 0.430887 0.400329 0.396498 0.366395 0.379597 0.360189 0.427151 0.415018 0.41493 0.446511 0.443797 0.435812 0.446956 0.391805 0.443302 0.43654 0.450691
0.255739 0.427413 0.398363 1 0.458074 0.442092 0.427458 0.097995 0.131036 0.123097 0.116763 0.100142 0.409531 0.409531 0.409531 0.409531 0.409531 0.402354 0.396364 0.396364 0.397182 0.397182 0.397182 0.436262 0.436864 0.437338 0.437316 0.435808 0.403327 0.39569 0.425192 0.429272 0.442281 0.403435 0.443341 0.419087 0.364531 0.376392 0.442719 0.432441 0.435928 0.449242 0.439462 0.419621 0.429946 0.432355 0.425846 0.429595 0.416502 0.420679 0.41652 0.431974 0.414946 0.425019 0.409139 0.401695 0.397656 0.398438 0.40804 0.381978 0.379063 0.374663 0.427458 0.408476 0.401522 0.453811 0.404958 0.372883 0.386575 0.386057 0.354607 0.403327 0.39569 0.425192 0.429272 0.442281 0.408344 0.416025 0.401169 0.413617 0.41395 0.418579
0.241902 0.462691 0.412378 0.442568 1 0.505368 0.391937 0.107063 0.110236 0.121322 0.0891803 0.0854057 0.372126 0.372126 0.372126 0.372126 0.372126 0.361571 0.375605 0.375605 0.363627 0.363627 0.363627 0.385224 0.385246 0.385552 0.389695 0.391536 0.394936 0.385808 0.390589 0.387309 0.389912 0.369953 0.386959 0.390784 0.366406 0.338894 0.400579 0.393322 0.395008 0.405424 0.388229 0.39705 0.421736 0.440023 0.417393 0.431098 0.37899 0.398051 0.405917 0.390057 0.40181 0.380003 0.383883 0.356331 0.383166 0.331253 0.364855 0.352588 0.350341 0.339668 0.391937 0.371373 0.372404 0.390748 0.371751 0.395842 0.352882 0.362279 0.382855 0.394936 0.385808 0.390589 0.387309 0.389912 0.379952 0.379385 0.362309 0.377744 0.384454 0.391245
0.229394 0.464246 0.412611 0.431655 0.513957 1 0.380163 0.0977508 0.12217 0.126182 0.106159 0.0906322 0.350961 0.350961 0.350961 0.350961 0.350961 0.346441 0.362302 0.362302 0.343957 0.343957 0.343957 0.379665 0.379297 0.379279 0.381333 0.382676 0.403184 0.396379 0.401775 0.397416 0.393097 0.373296 0.382202 0.363189 0.322532 0.346447 0.404696 0.394004 0.397085 0.404874 0.396721 0.402418 0.413048 0.418725 0.408776 0.408809 0.367089 0.373279 0.373764 0.380974 0.383063 0.359759 0.370361 0.355066 0.359216 0.36044 0.378687 0.364555 0.358455 0.352499 0.380163 0.39627 0.389674 0.40525 0.397898 0.39601 0.355687 0.364287 0.38517 0.403184 0.396379 0.401775 0.397416 0.393097 0.360473 0.364026 0.377814 0.360749 0.367039 0.367951
0.266945 0.413867 0.407742 0.419834 0.40836 0.395355 1 0.0997107 0.135637 0.147528 0.0982164 0.125383 0.617958 0.617958 0.617958 0.617958 0.617958 0.613503 0.621849 0.621849 0.622894 0.622894 0.622894 0.649141 0.649783 0.646195 0.644826 0.648706 0.459306 0.440129 0.493338 0.504357 0.529562 0.571971 0.608314 0.60353 0.567423 0.51138 0.427852 0.423236 0.423127 0.438842 0.420087 0.472693 0.438053 0.440525 0.472299 0.459049 0.645453 0.631522 0.650895 0.626687 0.662426 0.61649 0.646427 0.582857 0.616756 0.38559 0.404423 0.436034 0.432188 0.425823 1 0.390609 0.387688 0.455021 0.387056 0.366894 0.373282 0.379645 0.341836 0.459306 0.440129 0.493338 0.504357 0.529562 0.589063 0.661307 0.382555 0.66031 0.663969 0.668874
0.423352 0.362446 0.371222 0.36053 0.358424 0.344545 0.357424 1 0.497007 0.500608 0.516027 0.493281 0.367075 0.367075 0.367075 0.367075 0.367075 0.367584 0.369407 0.369407 0.359907 0.359907 0.359907 0.355213 0.356012 0.356889 0.352918 0.350232 0.313418 0.316232 0.333198 0.3435 0.351285 0.338462 0.340893 0.340789 0.343903 0.350596 0.348191 0.346468 0.346963 0.347137 0.329669 0.346665 0.340142 0.333013 0.33205 0.345367 0.372312 0.355841 0.35963 0.345542 0.356182 0.358974 0.361812 0.359815 0.352157 0.349047 0.349948 0.362212 0.360186 0.359423 0.357424 0.316776 0.338062 0.346268 0.313268 0.328844 0.334582 0.33016 0.329946 0.313418 0.316232 0.333198 0.3435 0.351285 0.363728 0.35828 0.324725 0.352589 0.350076 0.351689
0.375764 0.336888 0.348723 0.335278 0.333729 0.326268 0.333461 0.419875 1 0.44516 0.40763 0.442861 0.349765 0.349765 0.349765 0.349765 0.349765 0.345268 0.335024 0.335024 0.333309 0.333309 0.333309 0.33328 0.333607 0.334252 0.329696 0.330229 0.306619 0.313388 0.312364 0.327704 0.336574 0.303946 0.321717 0.311835 0.31289 0.321648 0.319945 0.319985 0.32469 0.324324 0.314118 0.328062 0.328091 0.317469 0.319385 0.323032 0.33554 0.332368 0.327354 0.335711 0.333224 0.331979 0.332951 0.334789 0.330086 0.338465 0.323396 0.340848 0.342325 0.341207 0.333461 0.302356 0.308741 0.309241 0.300251 0.286879 0.326616 0.321302 0.313252 0.306619 0.313388 0.312364 0.327704 0.336574 0.339998 0.344613 0.312948 0.342486 0.343467 0.343157
0.414819 0.356399 0.375416 0.36222 0.355714 0.35694 0.363939 0.460935 0.502313 1 0.527773 0.503398 0.376804 0.376804 0.376804 0.376804 0.376804 0.381199 0.375754 0.375754 0.374536 0.374536 0.374536 0.361689 0.361819 0.362494 0.358084 0.360622 0.318221 0.335255 0.333701 0.354582 0.375461 0.354453 0.349188 0.352374 0.359975 0.363149 0.339388 0.342253 0.350547 0.340678 0.334228 0.357362 0.337627 0.331538 0.335937 0.33952 0.360558 0.358174 0.35692 0.375743 0.359981 0.371932 0.36704 0.367981 0.377441 0.359057 0.351665 0.373223 0.372015 0.367832 0.363939 0.31669 0.34404 0.334882 0.319395 0.319083 0.346752 0.348199 0.329406 0.318221 0.335255 0.333701 0.354582 0.375461 0.36594 0.37428 0.325069 0.372324 0.36945 0.373189
